time,r1,r2,r3,r4,fr1,fr2,fr3,fr4,rotation,frotation,height_vel,fheight_vel,o1,o2,o3,o4
0,-0.75,-1.9375,0.75,1.9375,0.0,0.0,0.0,0.0,3.5,0.0,443.37538056508987,0.0,0.0,0.0,0.0,0.0
0.01,-0.75,-1.9375,0.75,1.9375,3.21803565760725e-06,8.313258782152062e-06,-3.21803565760725e-06,-8.313258782152062e-06,3.5625,-1.5017499735500501e-05,399.03932712368646,-0.0019023970458181918,5.017351883508987,6.548902647425581,5.017742573955053,6.549911931077916
0.02,-0.75,-2.0,0.75,2.0,1.888458457753875e-05,4.878517682530844e-05,-1.888458457753875e-05,-4.878517682530844e-05,3.625,-8.839623099998144e-05,359.1353940241643,-0.010973713163983805,23.89579256504502,31.40954092678759,23.897699153918083,31.41446628137634
0.03,-0.6875,-2.0,0.6875,2.0,5.746507534541175e-05,0.00014871961428044765,-5.746507534541175e-05,-0.00014871961428044765,-2044.3125,-0.00027001223663151704,323.2218378991832,-0.032683892559776,57.089377498184696,75.78964109406326,57.09408826903937,75.80184314297503
0.04,-0.6875,-2.0625,0.6875,2.0625,0.00012544339976738257,0.0003263286030123792,-0.00012544339976738257,-0.0003263286030123792,3.75,0.008194098070515408,290.8981502727428,-0.0697606666283748,104.68066488596835,123.37795418787036,104.68899975542081,123.39972892333299
0.05,-0.6875,-2.125,0.6875,2.125,0.0002194858957542877,0.0005761275880176039,-0.0002194858957542877,-0.0005761275880176039,3.8125,0.04173140479331062,261.80683721362954,-0.11915136062118131,143.61531281996744,162.30972373088224,143.6269092915425,162.34051685044193
0.060000000000000005,-0.625,-2.125,0.625,2.125,0.0003215673554908085,0.0008554044712081699,-0.0003215673554908085,-0.0008554044712081699,3.8125,0.10379193669553698,235.6231689704032,-0.16948420928387745,148.48339877986476,167.1763964238609,148.49610635797953,167.21112718379763
0.07,-0.625,-2.1875,0.625,2.1875,0.0003954362411741547,0.0010740834078225472,-0.0003954362411741547,-0.0010740834078225472,3.875,0.1844004616177693,212.0578565002447,-0.19972535783733078,89.45650406694816,108.15133952568607,89.46593421313989,108.17911722421616
0.08,-0.625,-2.25,0.625,2.25,0.00038618502528664104,0.0010920285345824995,-0.00038618502528664104,-0.0010920285345824995,3.8125,0.25837321163683136,190.8475783693843,-0.17975268878651035,0,0,0,0
0.09,-0.5625,-2.25,0.5625,2.25,0.00022479840353703762,0.0007279452293389796,-0.00022479840353703762,-0.0007279452293389796,3.8125,0.2862062251700625,171.75831749861518,-0.0734583277325286,0,0,0,0
0.09999999999999999,-0.5625,-2.3125,0.5625,2.3125,-0.0001623326304695539,-0.0002183331948737001,0.0001623326304695539,0.0002183331948737001,3.6875,0.21838498017956026,154.57652184858108,0.15529482165769473,0,0,0,0
0.10999999999999999,-0.5625,-2.375,0.5625,2.375,-0.0008384763282098785,-0.0019289913636757017,0.0008384763282098785,0.0019289913636757017,3.6875,0.0035499879773934016,139.11602410681024,0.5340123978253689,0,0,0,0
0.11999999999999998,-0.5625,-2.4375,0.5625,2.4375,-0.0018366652917318955,-0.0045181861814260925,0.0018366652917318955,0.0045181861814260925,3.5625,-0.39964977496359994,125.20158835992427,1.0709826909369948,0,0.15851148582351016,0,0
0.12999999999999998,-0.625,-2.5,0.625,2.5,-0.0031378129512800684,-0.00797474955219012,0.0031378129512800684,0.00797474955219012,3.5,-1.008047240133717,112.67712022838386,1.7442399318185338,0,0.2130137954050042,0,0
0.13999999999999999,-0.625,-2.5625,0.625,2.5625,-0.0046501515803996545,-0.01210633602657488,0.0046501515803996545,0.01210633602657488,3.4375,-1.798819173602374,101.40511474742006,2.4921797882958825,0,0.25647255568242144,0,0
0.15,-0.625,-2.625,0.625,2.625,-0.006194936838923518,-0.016496597276394152,0.006194936838923518,0.016496597276394152,3.375,-2.6966743346680273,91.25883054364353,3.208332639523145,0,0.2751591846166548,0,0
0.16,-0.6875,-2.75,0.6875,2.75,-0.007504000242360425,-0.0204883309909683,0.007504000242360425,0.0204883309909683,3.3125,-3.5669151051486425,82.1271804259385,3.742822729671638,0,0.25416194711897333,0,0
0.17,-0.6875,-2.75,0.6875,2.75,-0.008232724441202105,-0.023204552423347586,0.008232724441202105,0.023204552423347586,3.3125,-4.217934094294526,73.90868448110122,3.912571280510297,0,331.62171922540745,0,331.26237009128533
0.18000000000000002,-0.75,-2.875,0.75,2.875,-0.007991720524692568,-0.023617042402461624,0.007991720524692568,0.023617042402461624,3.3125,-4.415959611790181,66.51204422411341,3.5213024753394415,0,1000,0.008639827525712462,1000
0.19000000000000003,-0.75,-2.875,0.75,2.875,-0.006397910421797179,-0.020665645507955507,0.006397910421797179,0.020665645507955507,3.3125,-3.9133045615545825,59.855074115253046,2.3889465763683546,1000,0,1000,0.16186367847399197
0.20000000000000004,-0.75,-2.9375,0.75,2.9375,-0.003141867713948753,-0.013423192976932913,0.003141867713948753,0.013423192976932913,3.3125,-2.489122276769123,53.86378883996907,0.3882750245054485,1000,0,1000,0.4242859447116416
0.21000000000000005,-0.75,-3.0,0.75,3.0,0.001934254291087431,-0.0012937600138187722,-0.001934254291087431,0.0012937600138187722,3.3125,0.0009713042424849272,48.47471405057686,-2.5151882073498237,1000,0,1000,0.7259475436140974
0.22000000000000006,-0.8125,-3.0,0.8125,3.0,0.008758372444385432,0.0157787341560372,-0.008758372444385432,-0.0157787341560372,3.3125,3.572645514438965,43.62453004697727,-6.2254359075792625,1000,0,1000,1.0345290381034147
