time,fangle_rotor1,fangle_rotor2,fangle_rotor3,fangle_rotor4,yaw,fyaw,altitude,faltitude
0,0.0,0.0,0.0,0.0,0,0.0,-1.5830810614683437,-0.15830810614683433
0.01,0.0,0.0,0.0,0.0,0,0.0,-2.915946437571132,-0.29619002271804923
0.02,0.0,0.0,0.0,0.0,0,0.0,-3.985383997932678,-0.41916315522520353
0.03,0.0,0.0,0.0,0.0,0,0.0,-4.842906845869963,-0.5297567474913225
0.04,0.0,0.0,0.0,0.0,0,0.0,-5.529912289330046,-0.6297598583280969
0.05,0.0,0.0,0.0,0.0,0,0.0,-6.209379078359629,-0.83564259316498
0.060000000000000005,0.0,0.0,0.0,0.0,0,0.0,-6.8720026792424616,-1.0366839256616727
0.07,0.0,0.0,0.0,0.0,0,0.0,-7.497276900165136,-1.2402106862361741
0.08,0.0,0.0,0.0,0.0,0,0.0,-8.014290923908876,-1.451426923378927
0.09,0.0,0.0,0.0,0.0,0,0.0,-8.488076442274355,-1.6764908380975818
0.09999999999999999,0.0,0.0,0.0,0.0,0,0.0,-8.912231186183018,-1.9189594566125574
0.10999999999999999,0.0,0.0,0.0,0.0,0,0.0,-9.326080334667482,-2.1630380451416213
0.11999999999999998,0.0,0.0,0.0,0.0,0,0.0,-9.716587529024965,-2.410167999225209
0.12999999999999998,0.0,0.0,0.0,0.0,0,0.0,-10.076327253994544,-2.662001042164949
0.13999999999999999,0.0,0.0,0.0,0.0,0,0.0,-10.524782174532854,-2.920638498191603
0.15,0.0,0.0,0.0,0.0,0,0.0,-10.77821612921865,-3.181904775869239
0.16,0.0,0.0,0.0,0.0,0,0.0,-11.101948118697786,-3.4447522890160474
0.17,0.0,0.0,0.0,0.0,0,0.0,-11.410709837964472,-3.7093432990922346
0.18000000000000002,0.0,0.0,0.0,0.0,0,0.0,-11.819394629157497,-3.9780562005715585
0.19000000000000003,0.0,0.0,0.0,0.0,0,0.0,-12.177326430615247,-4.247997014206396
0.20000000000000004,0.0,0.0,0.0,0.0,0,0.0,-12.345802491454897,-4.518273274333783
0.21000000000000005,0.0,0.0,0.0,0.0,0,0.0,-12.54324582994084,-4.787645558282263
0.22000000000000006,0.0,0.0,0.0,0.0,0,0.0,-12.75157074901431,-5.056183564971178
0.23000000000000007,0.0,0.0,0.0,0.0,0,0.0,-13.14148961197601,-5.325056712485758
0.24000000000000007,0.0,0.0,0.0,0.0,0,0.0,-13.485085732648406,-5.593671990670977
0.25000000000000006,0.0,0.0,0.0,0.0,0,0.0,-13.628600832401553,-5.861549453253535
0.26000000000000006,0.0,0.0,0.0,0.0,0,0.0,-13.810673314161138,-6.128687715143495
0.2700000000000001,0.0,0.0,0.0,0.0,0,0.0,-14.009915269941237,-6.395242193797057
0.2800000000000001,0.0,0.0,0.0,0.0,0,0.0,-14.211712472082288,-6.65767720418784
0.2900000000000001,0.0,0.0,0.0,0.0,0,0.0,-14.407933545934315,-6.916005848959933
0.3000000000000001,0.0,0.0,0.0,0.0,0,0.0,-14.530362020782361,-7.172061167219562
0.3100000000000001,0.0,0.0,0.0,0.0,0,0.0,-14.69368619508559,-7.425613533351935
0.3200000000000001,0.0,0.0,0.0,0.0,0,0.0,-14.876713590011098,-7.676396147030852
0.3300000000000001,0.0,0.0,0.0,0.0,0,0.0,-15.065076912167633,-7.924071147414642
0.34000000000000014,0.0,0.0,0.0,0.0,0,0.0,-15.432203263115316,-8.172507451539087
0.35000000000000014,0.0,0.0,0.0,0.0,0,0.0,-15.571170793739844,-8.419493915462484
0.36000000000000015,0.0,0.0,0.0,0.0,0,0.0,-15.694891537673437,-8.664055916997967
0.37000000000000016,0.0,0.0,0.0,0.0,0,0.0,-15.852319142588604,-8.906487657105801
0.38000000000000017,0.0,0.0,0.0,0.0,0,0.0,-15.9644389609955,-9.14589136989585
0.3900000000000002,0.0,0.0,0.0,0.0,0,0.0,-16.091235513077983,-9.378999654941719
0.4000000000000002,0.0,0.0,0.0,0.0,0,0.0,-16.07896172229413,-9.60632407012528
0.4100000000000002,0.0,0.0,0.0,0.0,0,0.0,-16.129858137849922,-9.828652829968114
0.4200000000000002,0.0,0.0,0.0,0.0,0,0.0,-16.219497572042286,-10.045623842891812
0.4300000000000002,0.0,0.0,0.0,0.0,0,0.0,-16.330090726242595,-10.257981391638237
0.4400000000000002,0.0,0.0,0.0,0.0,0,0.0,-16.389581726887094,-10.46412451982805
0.45000000000000023,0.0,0.0,0.0,0.0,0,0.0,-16.259970788524157,-10.663067176832191
0.46000000000000024,0.0,0.0,0.0,0.0,0,0.0,-16.21196180148078,-10.854923009312051
0.47000000000000025,0.0,0.0,0.0,0.0,0,0.0,-16.097671621559776,-11.03721512258431
0.48000000000000026,0.0,0.0,0.0,0.0,0,0.0,-16.041596326790568,-11.20993166493992
0.49000000000000027,0.0,0.0,0.0,0.0,0,0.0,-16.08774353378616,-11.375245950272204
0.5000000000000002,0.0,0.0,0.0,0.0,0,0.0,-15.951059539969126,-11.53306958278105
0.5100000000000002,0.0,0.0,0.0,0.0,0,0.0,-15.834480482539604,-11.68212038947302
0.5200000000000002,0.0,0.0,0.0,0.0,0,0.0,-15.783303603441878,-11.824728557539638
0.5300000000000002,0.0,0.0,0.0,0.0,0,0.0,-15.776524776033204,-11.96117954481645
0.5400000000000003,0.0,0.0,0.0,0.0,0,0.0,-15.798032098491255,-12.090609934488327
0.5500000000000003,0.0,0.0,0.0,0.0,0,0.0,-15.767232231772843,-12.215698905483304
