angle_controller_output1,angle_controller_output2,angle_controller_output3,angle_controller_output4,yaw_controller_output,altitude_controller_output,rotor_output1,rotor_output2,rotor_output3,rotor_output4
1.1714404084600374,1.1714404084600374,1.1714404084600374,1.1714404084600374,0.0,0.0,0.0,0.0,0.0,2.3428808169200748
1.0043421704535538,1.0043421704535538,1.0043421704535538,1.0043421704535538,0.0,0.0,0.0,0.0,0.0,2.0086843409071076
0.880050138427898,0.880050138427898,0.880050138427898,0.880050138427898,0.0,0.0,0.0,0.0,0.0,1.760100276855796
0.7759069974178419,0.7759069974178419,0.7759069974178419,0.7759069974178419,0.0,0.0,0.0,0.0,0.0,1.5518139948356837
0.6861881964626254,0.6861881964626254,0.6861881964626254,0.6861881964626254,0.0,0.0,0.0,0.0,0.0,1.3723763929252508
1.4593307523668793,1.4593307523668793,1.4593307523668793,1.4593307523668793,0.0,0.0,0.0,0.0,0.0,2.9186615047337585
1.4024480199360756,1.4024480199360756,1.4024480199360756,1.4024480199360756,0.0,0.0,0.0,0.0,0.0,2.804896039872151
1.4001668308092168,1.4001668308092168,1.4001668308092168,1.4001668308092168,0.0,0.0,0.0,0.0,0.0,2.8003336616184336
1.4360433719544228,1.4360433719544228,1.4360433719544228,1.4360433719544228,0.0,0.0,0.0,0.0,0.0,2.8720867439088456
1.516612582861453,1.516612582861453,1.516612582861453,1.516612582861453,0.0,0.0,0.0,0.0,0.0,3.033225165722906
1.6220021369086834,1.6220021369086834,1.6220021369086834,1.6220021369086834,0.0,0.0,0.0,0.0,0.0,3.244004273817367
1.6086485537860018,1.6086485537860018,1.6086485537860018,1.6086485537860018,0.0,0.0,0.0,0.0,0.0,3.2172971075720036
1.6056774985254807,1.6056774985254807,1.6056774985254807,1.6056774985254807,0.0,0.0,0.0,0.0,0.0,3.2113549970509614
1.6144993183922964,1.6144993183922964,1.6144993183922964,1.6144993183922964,0.0,0.0,0.0,0.0,0.0,3.228998636784593
1.6382730110564,1.6382730110564,1.6382730110564,1.6382730110564,0.0,0.0,0.0,0.0,0.0,3.2765460221128
1.6303369098524865,1.6303369098524865,1.6303369098524865,1.6303369098524865,0.0,0.0,0.0,0.0,0.0,3.260673819704973
1.6142547602903776,1.6142547602903776,1.6142547602903776,1.6142547602903776,0.0,0.0,0.0,0.0,0.0,3.2285095205807552
1.5990833623560727,1.5990833623560727,1.5990833623560727,1.5990833623560727,0.0,0.0,0.0,0.0,0.0,3.1981667247121455
1.6012044078567496,1.6012044078567496,1.6012044078567496,1.6012044078567496,0.0,0.0,0.0,0.0,0.0,3.202408815713499
1.5813631543559197,1.5813631543559197,1.5813631543559197,1.5813631543559197,0.0,0.0,0.0,0.0,0.0,3.1627263087118394
1.5546598094651745,1.5546598094651745,1.5546598094651745,1.5546598094651745,0.0,0.0,0.0,0.0,0.0,3.109319618930349
1.5186162800203638,1.5186162800203638,1.5186162800203638,1.5186162800203638,0.0,0.0,0.0,0.0,0.0,3.0372325600407275
1.4830444426239273,1.4830444426239273,1.4830444426239273,1.4830444426239273,0.0,0.0,0.0,0.0,0.0,2.9660888852478546
1.4560753739955867,1.4560753739955867,1.4560753739955867,1.4560753739955867,0.0,0.0,0.0,0.0,0.0,2.9121507479911735
1.4245501440310713,1.4245501440310713,1.4245501440310713,1.4245501440310713,0.0,0.0,0.0,0.0,0.0,2.8491002880621425
1.3893649753918762,1.3893649753918762,1.3893649753918762,1.3893649753918762,0.0,0.0,0.0,0.0,0.0,2.7787299507837524
1.3541095847162945,1.3541095847162945,1.3541095847162945,1.3541095847162945,0.0,0.0,0.0,0.0,0.0,2.708219169432589
1.3199447801007194,1.3199447801007194,1.3199447801007194,1.3199447801007194,0.0,0.0,0.0,0.0,0.0,2.6398895602014387
1.2595420372412982,1.2595420372412982,1.2595420372412982,1.2595420372412982,0.0,0.0,0.0,0.0,0.0,2.5190840744825964
1.199518009860634,1.199518009860634,1.199518009860634,1.199518009860634,0.0,0.0,0.0,0.0,0.0,2.399036019721268
1.1533405124371452,1.1533405124371452,1.1533405124371452,1.1533405124371452,0.0,0.0,0.0,0.0,0.0,2.3066810248742904
1.105563716194343,1.105563716194343,1.105563716194343,1.105563716194343,0.0,0.0,0.0,0.0,0.0,2.211127432388686
1.0559368090054342,1.0559368090054342,1.0559368090054342,1.0559368090054342,0.0,0.0,0.0,0.0,0.0,2.1118736180108684
1.0039620924299943,1.0039620924299943,1.0039620924299943,1.0039620924299943,0.0,0.0,0.0,0.0,0.0,2.0079241848599887
0.9808040954227164,0.9808040954227164,0.9808040954227164,0.9808040954227164,0.0,0.0,0.0,0.0,0.0,1.9616081908454328
0.9410836471807749,0.9410836471807749,0.9410836471807749,0.9410836471807749,0.0,0.0,0.0,0.0,0.0,1.8821672943615497
0.8941730916597496,0.8941730916597496,0.8941730916597496,0.8941730916597496,0.0,0.0,0.0,0.0,0.0,1.7883461833194991
0.8495603210480819,0.8495603210480819,0.8495603210480819,0.8495603210480819,0.0,0.0,0.0,0.0,0.0,1.6991206420961638
0.7983966501289295,0.7983966501289295,0.7983966501289295,0.7983966501289295,0.0,0.0,0.0,0.0,0.0,1.596793300257859
0.7232388907867968,0.7232388907867968,0.7232388907867968,0.7232388907867968,0.0,0.0,0.0,0.0,0.0,1.4464777815735936
0.6523810943698531,0.6523810943698531,0.6523810943698531,0.6523810943698531,0.0,0.0,0.0,0.0,0.0,1.3047621887397063
0.5878220591050951,0.5878220591050951,0.5878220591050951,0.5878220591050951,0.0,0.0,0.0,0.0,0.0,1.1756441182101902
