time,roll_c_o,pitch_c_o,yaw_c_o,altitude_c_o,ro1,ro2,ro3,ro4
0.6200000000000003,9.600000000000001,0.0,0.0,0.0,109.6,100.0,90.4,100.0
0.6300000000000003,7.0,0.0,0.0,0.0,107.0,100.0,93.0,100.0
0.6400000000000003,2.2,0.0,0.0,0.0,102.2,100.0,97.8,100.0
0.6500000000000004,-2.2,0.0,0.0,0.0,97.8,100.0,102.2,100.0
0.6600000000000004,-6.4,0.0,0.0,0.0,93.6,100.0,106.4,100.0
0.6700000000000004,-10.8,0.0,0.0,0.0,89.2,100.0,110.8,100.0
0.6800000000000004,-14.8,0.0,0.0,0.0,85.2,100.0,114.8,100.0
0.6900000000000004,-18.8,0.0,0.0,0.0,81.2,100.0,118.8,100.0
0.7000000000000004,-23.0,0.0,0.0,0.0,77.0,100.0,123.0,100.0
0.7100000000000004,-23.8,0.0,0.0,0.0,76.2,100.0,123.8,100.0
0.7200000000000004,-24.200000000000003,0.0,0.0,0.0,75.8,100.0,124.2,100.0
0.7300000000000004,-24.0,0.0,0.0,0.0,76.0,100.0,124.0,100.0
0.7400000000000004,-22.8,0.0,0.0,0.0,77.2,100.0,122.8,100.0
0.7500000000000004,-19.8,0.0,0.0,0.0,80.2,100.0,119.8,100.0
0.7600000000000005,-15.0,0.0,0.0,0.0,85.0,100.0,115.0,100.0
0.7700000000000005,-10.600000000000001,0.0,0.0,0.0,89.4,100.0,110.6,100.0
0.7800000000000005,-5.800000000000001,0.0,0.0,0.0,94.2,100.0,105.8,100.0
0.7900000000000005,-1.0,0.0,0.0,0.0,99.0,100.0,101.0,100.0
0.8000000000000005,3.6,0.0,0.0,0.0,103.6,100.0,96.4,100.0
0.8100000000000005,8.4,0.0,0.0,0.0,108.4,100.0,91.6,100.0
0.8200000000000005,14.200000000000001,0.0,0.0,0.0,114.2,100.0,85.8,100.0
0.8300000000000005,19.0,0.0,0.0,0.0,119.0,100.0,81.0,100.0
0.8400000000000005,23.200000000000003,0.0,0.0,0.0,123.2,100.0,76.8,100.0
0.8500000000000005,23.400000000000002,0.0,0.0,0.0,123.4,100.0,76.6,100.0
0.8600000000000005,22.400000000000002,0.0,0.0,0.0,122.4,100.0,77.6,100.0
0.8700000000000006,21.0,0.0,0.0,0.0,121.0,100.0,79.0,100.0
