time,froll,fpitch,fyaw,altitude*10,faltitude*10,altitude_target*10,yaw_target,roll_target,pitch_target
0,1.125,0,0.0,0.6293379225089464,0.12586758450178925,0.0,0.0,0,0
0.01,1.125,0,0.0,0.3842173832413385,0.1775375442496991,0.0,0.0,0,0
0.02,1.125,0,0.0,0.1251718592648239,0.1670644072527241,0.0,0.0,0,0
0.03,1.125,0,0.0,-0.10102297692078219,0.11344693041802284,0.0,0.0,0,0
0.04,1.125,0,0.0,-0.29693705552653454,0.03137013322911138,0.0,0.0,0,0
0.05,1.125,0,0.0,-0.5103449417557807,-0.07697288176786701,0.0,0.0,0,0
0.060000000000000005,1.0625,0,0.025,-0.7792919799719623,-0.21743670140868604,0.0,0.0,0,0
0.07,1.0625,0,-0.010000000000000002,-1.0541133903357467,-0.38477203919409814,0.0,0.0,0,0
0.08,1.0625,0,-0.031000000000000003,-1.275261715057224,-0.5628699743667233,0.0,0.0,0,0
0.09,1.125,0,-0.018600000000000002,-1.4214441537693294,-0.7345848102472445,0.0,0.0,0,0
0.09999999999999999,1.0625,0,-0.011160000000000002,-1.5480111993056331,-0.8972700880589223,0.0,0.0,0,0
0.10999999999999999,1.0625,0,-0.031696,-1.6442072720765044,-1.0466575248624386,0.0,0.0,0,0
0.11999999999999998,1.0625,0,-0.0190176,-1.7203538014786748,-1.181396780185686,0.0,0.0,0,0
0.12999999999999998,1.0625,0,-0.03641056,-1.8217672878127535,-1.3094708817110994,0.0,0.0,0,0
0.13999999999999999,1.0625,0,-0.046846336,-1.9372119817503786,-1.435019101718955,0.0,0.0,0,0
0.15,1.0625,0,-0.053107801600000004,-2.0226080170905156,-1.5525368847932672,0.0,0.0,0,0
0.16,1.0625,0,-0.03186468096,-2.0444660073456618,-1.6509227093037462,0.0,0.0,0,0
0.17,1.0625,0,-0.04411880857600001,-2.01666955146856,-1.7240720777367091,0.0,0.0,0,0
0.18000000000000002,1.0625,0,-0.026471285145600005,-1.9275132641033736,-1.7647603150100422,0.0,0.0,0,0
0.19000000000000003,1.0625,0,-0.01588277108736,-1.8137858898870376,-1.7745654299854414,0.0,0.0,0,0
0.20000000000000004,1.0625,0,-0.034529662652416,-1.7170130768328848,-1.76305495935493,0.0,0.0,0,0
0.21000000000000005,1.0625,0,-0.020717797591449597,-1.678658616877464,-1.7461756908594368,0.0,0.0,0,0
0.22000000000000006,1.0625,0,-0.012430678554869758,-1.66903668776146,-1.7307478902398412,0.0,0.0,0,0
0.23000000000000007,1.0625,0,-0.032458407132921856,-1.6342833915588282,-1.7114549905036385,0.0,0.0,0,0
0.24000000000000007,1.0625,0,-0.044475044279753115,-1.5857453641834949,-1.6863130652396097,0.0,0.0,0,0
0.25000000000000006,1.0625,0,-0.026685026567851867,-1.5510136736768807,-1.6592531869270637,0.0,0.0,0,0
0.26000000000000006,1.0625,0,-0.01601101594071112,-1.539100579423545,-1.6352226654263602,0.0,0.0,0,0
0.2700000000000001,1.0625,0,-0.009606609564426672,-1.5417098128180733,-1.616520094904703,0.0,0.0,0,0
0.2800000000000001,1.0625,0,-0.005763965738656003,-1.539395384670955,-1.6010951528579531,0.0,0.0,0,0
0.2900000000000001,1.0625,0,-0.0034583794431936018,-1.4838504845831273,-1.577646219202988,0.0,0.0,0,0
0.3000000000000001,1.125,0,-0.027075027665916164,-1.4203112111179594,-1.5461792175859823,0.0,0.0,0,0
0.3100000000000001,1.0625,0,-0.0162450165995497,-1.3869593923770096,-1.5143352525441878,0.0,0.0,0,0
0.3200000000000001,1.0625,0,-0.009747009959729819,-1.3414392362711753,-1.4797560492895854,0.0,0.0,0,0
0.3300000000000001,1.0625,0,-0.005848205975837891,-1.288735237890262,-1.4415518870097208,0.0,0.0,0,0
0.34000000000000014,1.0625,0,-0.0035089235855027346,-1.2447692761441822,-1.4021953648366132,0.0,0.0,0,0
0.35000000000000014,1.0625,0,-0.027105354151301643,-1.2205640838756113,-1.3658691086444128,0.0,0.0,0,0
0.36000000000000015,1.0625,0,-0.041263212490780986,-1.1892678150022586,-1.330548849915982,0.0,0.0,0,0
0.37000000000000016,1.0625,0,-0.04975792749446859,-1.1402304645999686,-1.2924851728527795,0.0,0.0,0,0
0.38000000000000017,1.125,0,-0.07985475649668115,-1.1087025168052635,-1.2557286416432762,0.0,0.0,0,0
0.3900000000000002,1.125,0,-0.1479128538980087,-1.0926600305583924,-1.2231149194262994,0.0,0.0,0,0
0.4000000000000002,1.0625,0,-0.21374771233880524,-1.0849621447093978,-1.1954843644829192,0.0,0.0,0,0
0.4100000000000002,1.0625,0,-0.25324862740328313,-1.0594436951548318,-1.1682762306173018,0.0,0.0,0,0
0.4200000000000002,1.125,0,-0.27694917644196987,-1.0002146418641364,-1.1346639128666687,0.0,0.0,0,0
0.4300000000000002,1.25,0,-0.2911695058651819,-0.9490263145206992,-1.0975363931974749,0.0,0.0,0,0
0.4400000000000002,1.1875,0,-0.3247017035191092,-0.9183466918692651,-1.061698452931833,0.0,0.0,0,0
0.45000000000000023,1.1875,0,-0.29482102211146555,-0.8435720198430091,-1.0180731663140683,0.0,0.0,0,0
0.46000000000000024,1.25,0,-0.17689261326687933,-0.7791612884666922,-0.970290790744593,0.0,0.0,0,0
0.47000000000000025,1.25,0,-0.08113556796012758,-0.7127093676898278,-0.91877450613364,0.0,0.0,0,0
0.48000000000000026,1.25,0,0.07631865922392345,-0.6337192778061512,-0.8617634604681422,0.0,0.0,0,0
0.49000000000000027,1.125,0,0.27079119553435405,-0.6151084056877547,-0.8124324495120647,0.0,0.0,0,0
